Cliente_Id_Cliente,F,M
26012,1,248000.0
26013,1,295000.0
26014,2,419000.0
26015,3,693000.0
26016,2,288080.0
26017,1,149000.0
26018,2,498000.0
26019,4,1056000.0
26020,2,477000.0
26021,3,792000.0
26022,1,279000.0
26023,2,261500.0
26024,3,747000.0
26025,1,279000.0
26026,2,234440.0
26027,2,176460.0
26028,3,447000.0
26029,2,493000.0
26030,3,596000.0
26031,4,1020000.0
26032,1,149000.0
26033,3,726000.0
26034,1,198000.0
26035,1,198000.0
26036,1,349000.0
26037,2,698000.0
26039,1,149000.0
26040,1,279000.0
26041,1,248000.0
26042,2,528000.0
26043,1,249000.0
26044,1,198000.0
26045,1,279000.0
26046,7,1449000.0
26047,1,219000.0
26048,5,1190000.0
26049,4,1140000.0
26050,2,298000.0
26051,1,295000.0
26052,1,249000.0
26053,2,428000.0
26054,2,496000.0
26055,1,279000.0
26056,1,248000.0
26057,3,363000.0
26058,1,149000.0
26059,3,313000.0
26060,1,149000.0
26061,2,477000.0
26062,1,295000.0
26063,1,589000.0
26064,4,1186000.0
26065,1,279000.0
26066,3,412960.0
26067,3,772000.0
26068,2,528000.0
26069,6,1392000.0
26070,4,1118000.0
26071,2,684000.0
26072,8,2088000.0
26073,1,149000.0
26074,1,198000.0
26075,1,149000.0
26076,1,389000.0
26077,4,837000.0
26078,2,684000.0
26079,1,149000.0
26080,1,289000.0
26081,3,777000.0
26082,2,527000.0
26083,1,198000.0
26084,1,279000.0
26085,1,279000.0
26086,1,198000.0
26087,2,738000.0
26088,2,527000.0
26089,1,198000.0
26090,2,493000.0
26091,1,198000.0
26092,1,279000.0
26093,1,295000.0
26094,4,990000.0
26095,2,477000.0
26096,1,295000.0
26097,2,528000.0
26098,2,678000.0
26099,4,1021000.0
26100,2,288080.0
26101,2,288370.0
26102,2,212960.0
26103,2,312320.0
26104,2,364440.0
26105,1,295000.0
26106,6,953000.0
26107,1,279000.0
26108,1,295000.0
26109,2,207370.0
26110,1,279000.0
26111,1,295000.0
26113,5,1177000.0
26114,3,406000.0
26115,1,295000.0
26116,2,590000.0
26117,1,198000.0
26118,1,295000.0
26119,1,279000.0
26121,2,644000.0
26122,1,295000.0
26123,2,590000.0
26124,1,279000.0
26125,1,239000.0
26126,8,1926000.0
26127,2,493000.0
26128,5,1163000.0
26129,2,262300.0
26130,1,279000.0
26131,3,626000.0
26132,12,2199000.0
26133,1,198000.0
26134,1,150000.0
26135,2,558000.0
26136,1,149000.0
26137,2,528000.0
26138,1,198000.0
26139,2,590000.0
26140,2,574000.0
26141,2,498000.0
26142,1,279000.0
26143,2,528000.0
26144,1,249000.0
26145,3,307370.0
26146,3,742000.0
26147,1,279000.0
26148,2,528000.0
26149,1,149000.0
26150,1,295000.0
26151,1,279000.0
26152,9,3194000.0
26153,2,298000.0
26155,4,1118000.0
26156,1,279000.0
26158,1,279000.0
26159,2,261000.0
26160,1,279000.0
26161,3,683000.0
26162,5,1335000.0
26163,2,544000.0
26165,1,249000.0
26166,5,1427000.0
26167,1,248000.0
26168,1,295000.0
26169,3,777000.0
26170,1,279000.0
26171,2,497000.0
26172,1,279000.0
26173,2,515000.0
26174,1,149000.0
26175,2,291000.0
26176,1,295000.0
26177,1,279000.0
26178,2,298000.0
26179,4,1056000.0
26180,2,347000.0
26181,2,493000.0
26182,1,279000.0
26183,4,1056000.0
26184,3,656000.0
26185,1,198000.0
26186,1,198000.0
26187,3,547000.0
26188,2,499000.0
26189,10,2635000.0
26190,5,1209000.0
26191,1,279000.0
26192,4,1055000.0
26193,1,279000.0
26194,3,822000.0
26195,1,198000.0
26196,1,279000.0
26197,1,279000.0
26198,2,489000.0
26199,1,295000.0
26200,4,456370.0
26201,2,590000.0
26202,2,293960.0
26203,1,295000.0
26204,2,477000.0
26205,1,280000.0
26206,4,881000.0
26207,3,583000.0
26208,2,477000.0
26209,7,1920000.0
26210,1,198000.0
26211,3,823000.0
26212,1,198000.0
26213,1,149000.0
26214,1,248000.0
26215,1,198000.0
26216,4,1036000.0
26217,2,477000.0
26218,3,742000.0
26219,3,307080.0
26220,1,248000.0
26221,1,149000.0
26222,2,544000.0
26223,4,990000.0
26224,1,248000.0
26225,3,559000.0
26226,2,590000.0
26227,2,347000.0
26229,3,492160.0
26230,2,358370.0
26231,1,349000.0
26232,1,248000.0
26233,2,477000.0
26234,2,493000.0
26235,1,248000.0
26236,2,543000.0
26237,10,2508000.0
26238,3,988000.0
26239,2,493000.0
26240,2,574000.0
26241,2,574000.0
26242,1,295000.0
26243,2,493000.0
26244,2,590000.0
26245,2,294000.0
26246,2,558000.0
26247,2,398000.0
26248,1,279000.0
26249,2,493000.0
26250,2,528000.0
26251,3,493000.0
26252,2,798000.0
26253,3,580000.0
26254,1,295000.0
26255,2,798000.0
26256,1,279000.0
26257,1,295000.0
26258,2,544000.0
26259,3,807000.0
26260,1,250000.0
26261,3,839000.0
26262,1,295000.0
26263,4,889000.0
26264,4,1180000.0
26265,1,295000.0
26266,4,964000.0
26267,1,249000.0
26268,1,249000.0
26269,1,295000.0
26270,2,496000.0
26271,1,249000.0
26272,5,1316000.0
26273,4,986000.0
26274,4,1036000.0
26275,2,499000.0
26276,1,295000.0
26277,1,295000.0
26278,1,279000.0
26279,1,149000.0
26280,1,198000.0
26281,1,279000.0
26282,1,295000.0
26283,17,4123000.0
26284,1,279000.0
26285,2,447000.0
26286,1,279000.0
26287,1,149000.0
26288,2,493000.0
26289,1,279000.0
26290,1,295000.0
26291,2,397000.0
26292,2,543000.0
26293,2,528000.0
26294,1,295000.0
26295,1,295000.0
26296,8,2070000.0
26297,1,248000.0
26298,5,1351000.0
26299,1,295000.0
26300,1,249000.0
26301,1,149000.0
26302,2,484000.0
26303,1,198000.0
26304,2,496000.0
26305,3,823000.0
26306,12,3149000.0
26307,2,527000.0
26308,2,266000.0
26309,1,279000.0
26310,1,279000.0
26311,1,279000.0
26312,1,295000.0
26313,2,528000.0
26314,1,295000.0
26315,1,149000.0
26316,1,198000.0
26317,2,298000.0
26318,1,198000.0
26319,1,279000.0
26320,3,795000.0
26321,9,2336000.0
26322,2,268000.0
26323,3,741000.0
26324,1,249000.0
26325,1,295000.0
26326,2,544000.0
26327,2,447000.0
26328,1,279000.0
26329,4,1037000.0
26330,2,527000.0
26331,1,248000.0
26332,1,248000.0
26333,1,249000.0
26334,1,249000.0
26335,4,428000.0
26336,1,198000.0
26337,2,347000.0
26338,1,295000.0
26339,3,696000.0
26340,1,249000.0
26341,1,198000.0
26342,3,742000.0
26343,4,1088000.0
26344,1,249000.0
26345,1,295000.0
26346,2,496000.0
26347,3,651000.0
26348,1,295000.0
26349,1,249000.0
26350,3,772000.0
26351,4,1045000.0
26352,7,2128000.0
26353,1,295000.0
26354,3,676000.0
26355,2,428000.0
26356,2,468000.0
26357,1,295000.0
26358,1,298000.0
26359,1,295000.0
26360,1,279000.0
26361,1,149000.0
26362,2,590000.0
26363,2,164440.0
26364,1,149000.0
26365,3,643000.0
26366,1,249000.0
26367,3,447000.0
26368,1,149000.0
26369,1,149000.0
26370,2,418000.0
26371,1,349000.0
26372,3,923000.0
26373,2,158370.0
26374,2,413190.0
26375,3,307370.0
26376,1,239000.0
26377,1,279000.0
26378,2,528000.0
26379,1,349000.0
26380,4,466500.0
26382,1,295000.0
26383,1,349000.0
26384,2,366320.0
26385,2,156460.0
26386,1,149000.0
26387,1,149000.0
